title,name,location,time,verified,review,aircraft_model,traveller_type,seat_type,route,date_flown,overal_rating,Seat_comfort_rating,cabin_staff,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
,,Australia,2025-10-06,True,Business Class,Couple Leisure,Couple Leisure,Business Class,,July 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Qatar,2025-09-30,True,First Class,A333,Solo Leisure,First Class,,September 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,United Kingdom,2025-09-24,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,September 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Thailand,2025-09-23,True,Business Class,Boeing 787-9,Business,Business Class,,September 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Zambia,2025-09-18,True,Economy Class,"Boeing 787, A350",Solo Leisure,Economy Class,,August 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-09-14,True,Business Class,Boeing 787-9,Solo Leisure,Business Class,,September 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-09-13,True,Business Class,Boeing 787-9,Solo Leisure,Business Class,,September 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United States,2025-09-07,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,September 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United Kingdom,2025-09-02,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,August 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Austria,2025-09-01,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,August 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,New Zealand,2025-08-26,False,Business Class,A380,Couple Leisure,Business Class,,June 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United Arab Emirates,2025-08-21,True,Business Class,Business,Business,Business Class,,May 2025,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,3,3,5,3,0
,,South Africa,2025-08-19,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,August 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,3,3,5,3,0
,,Iceland,2025-08-18,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,August 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Iceland,2025-08-18,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,August 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Poland,2025-08-10,True,Economy Class,"Boeing 777-200, / A330-200",Family Leisure,Economy Class,,August 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Sri Lanka,2025-08-04,True,Economy Class,Boeing 787 /  777-300,Family Leisure,Economy Class,,August 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,South Africa,2025-07-28,False,Economy Class,Family Leisure,Family Leisure,Economy Class,,July 2025,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,Peru,2025-07-26,True,Economy Class,Boeing,Solo Leisure,Economy Class,,July 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United Kingdom,2025-07-21,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,June 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Australia,2025-07-18,False,Economy Class,Boeing 777,Family Leisure,Economy Class,,July 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,3,3,5,3,0
,,United Kingdom,2025-07-16,True,Business Class,Boeing 777,Business,Business Class,,July 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,France,2025-07-07,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,July 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Iceland,2025-07-07,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,July 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Iceland,2025-07-07,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,July 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Hong Kong,2025-07-05,True,Business Class,Boeing 777-300er,Business,Business Class,,June 2025,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
